Name,Distance,Mass,Discovery Date,Stellar Magnitude
HD 217786 b,181,13.852 Jupiters,2011,7.78
HD 217786 c,181,7.31005 Earths,2022,7.78
HD 217958 b,202,0.524 Jupiters,2022,8.05
HD 218566 b,94,0.2 Jupiters,2010,8.6
HD 219077 b,95,9.62 Jupiters,2012,6.12
HD 219134 b,21,4.74 Earths,2015,5.54
HD 219134 c,21,4.36 Earths,2015,5.54
HD 219134 d,21,16.17 Earths,2015,5.54
HD 219134 f,21,7.3 Earths,2015,5.54
HD 219134 g,21,10.80622 Earths,2015,5.54
HD 219134 h,21,0.34 Jupiters,2015,5.54
HD 219139 b,342,0.78 Jupiters,2021,5.84863
HD 219415 b,539,1 Jupiter,2012,8.909
HD 219666 b,307,16.6 Earths,2018,9.809
HD 219828 b,238,19.0697 Earths,2007,8.04
HD 219828 c,238,16.054 Jupiters,2016,8.04
HD 220074 b,1059,16.64 Jupiters,2012,6.40607
HD 220197 b,210,0.2 Jupiters,2018,8.92
HD 220689 b,153,1.2 Jupiters,2012,7.74
HD 220773 b,165,1.45 Jupiters,2011,7.10831
HD 220842 b,211,3.18 Jupiters,2016,7.98
HD 221287 b,182,3.09 Jupiters,2007,7.82
HD 221416 b,312,0.19 Jupiters,2019,8.15
HD 221420 b,102,20.35 Jupiters,2019,5.82
HD 221585 b,182,1.61 Jupiters,2016,7.457
HD 222076 b,297,1.56 Jupiters,2016,7.47
HD 222155 b,165,1.83 Jupiters,2011,7.11716
HD 222582 b,138,8.37 Jupiters,1999,7.68
HD 224538 b,258,6.531 Jupiters,2016,8.06
HD 224693 b,305,0.7 Jupiters,2006,8.23
HD 22496 b,44,5.57 Earths,2021,8.57
HD 22532 b,526,2.12 Jupiters,2022,7.85
HD 22781 b,106,13.65 Jupiters,2011,8.78
HD 23079 b,109,2.61 Jupiters,2001,7.12
HD 23127 b,306,1.527 Jupiters,2006,8.58
HD 231701 b,355,1.13 Jupiters,2007,8.97
HD 233604 b,2763,6.575 Jupiters,2013,10.291
HD 233832 b,192,1.78 Jupiters,2018,10.15
HD 23472 b,127,8.32 Earths,2019,9.73
HD 23472 c,127,3.41 Earths,2019,9.73
HD 23472 d,127,0.55 Earths,2022,9.73
HD 23472 e,127,0.72 Earths,2022,9.73
HD 23472 f,127,0.77 Earths,2022,9.73
HD 23596 b,170,11.914 Jupiters,2003,7.26122
HD 238090 b,50,6.89 Earths,2020,9.71
HD 238914 b,1694,6 Jupiters,2018,8.770001
HD 240210 b,1215,5.21 Jupiters,2009,8.270001
HD 240237 b,3045,15.89 Jupiters,2011,8.19
HD 24040 b,152,3.86 Jupiters,2006,7.515
HD 24040 c,152,0.201 Jupiters,2021,7.515
HD 24064 b,979,12.89 Jupiters,2015,6.74616
HD 24085 b,179,11.8 Earths,2019,7.57
HD 25015 b,122,9.077 Jupiters,2019,8.87
HD 25171 b,181,0.915 Jupiters,2010,7.77
HD 25723 b,375,2.5 Jupiters,2020,5.60075
HD 25912 b,160,38.13941 Earths,2022,8.2
HD 25912 c,160,16.527 Jupiters,2022,8.2
HD 260655 b,33,2.14 Earths,2022,9.63
HD 260655 c,33,3.09 Earths,2022,9.63
HD 26161 b,133,28.46 Jupiters,2021,6.89333
HD 2638 b,179,0.42 Jupiters,2005,9.44
HD 2685 b,642,1.17 Jupiters,2019,9.595
HD 26965 b,16,8.47 Earths,2018,4.415
HD 27442 b,60,1.56 Jupiters,2000,4.44
HD 27631 b,164,1.56 Jupiters,2012,8.26
HD 27894 b,143,0.619 Jupiters,2005,9.36
HD 27894 c,143,0.162 Jupiters,2017,9.36
HD 27894 d,143,6.493 Jupiters,2017,9.36
HD 27969 b,222,4.8 Jupiters,2021,7.66
HD 28109 b,455,18.496 Earths,2022,9.42
HD 28109 c,455,7.943 Earths,2022,9.42
HD 28109 d,455,5.681 Earths,2022,9.42
HD 28185 b,128,5.837 Jupiters,2001,7.8
HD 28185 c,128,19.639 Jupiters,2022,7.8
HD 28192 b,162,0.314 Jupiters,2022,8.06
HD 28254 b,180,1.16 Jupiters,2010,7.69
HD 285507 b,147,0.98 Jupiters,2013,10.49
HD 285968 b,31,8.4 Earths,2008,9.95
HD 28678 b,619,1.542 Jupiters,2011,8.38
HD 29021 b,101,4.47 Jupiters,2017,7.76
HD 290327 b,184,2.43 Jupiters,2009,8.99
HD 29399 b,144,1.57 Jupiters,2022,5.79
HD 2952 b,359,1.37 Jupiters,2013,5.9258
HD 29985 b,102,5.473 Jupiters,2022,9.98
HD 30177 b,181,8.403 Jupiters,2002,8.41
HD 30177 c,181,6.15 Jupiters,2016,8.41
HD 30562 b,85,1.47 Jupiters,2009,5.77466
HD 30669 b,189,0.47 Jupiters,2014,9.12
HD 30856 b,428,1.547 Jupiters,2011,7.91
HD 31253 b,190,0.62 Jupiters,2010,7.13266
HD 31527 b,125,10.47 Earths,2019,7.49
HD 31527 c,125,14.16 Earths,2019,7.49
HD 31527 d,125,11.82 Earths,2019,7.49
HD 3167 b,154,4.97 Earths,2016,8.97
HD 3167 c,154,11.13 Earths,2016,8.97
HD 3167 d,154,4.33 Earths,2017,8.97
HD 3167 e,154,8.41 Earths,2022,8.97
HD 32518 b,398,3.04 Jupiters,2009,6.43005
HD 32963 b,124,2.07 Jupiters,2015,7.6
HD 330075 b,148,0.48 Jupiters,2004,9.36
HD 331093 b,164,1.5 Jupiters,2021,8.38
HD 33142 b,396,1.26 Jupiters,2011,7.96
HD 33142 c,396,0.89 Jupiters,2018,7.96
HD 33142 d,396,0.2 Jupiters,2022,7.96
HD 332231 b,263,0.244 Jupiters,2020,8.558
HD 33283 b,293,0.329 Jupiters,2006,8.05
HD 33564 b,68,9.1 Jupiters,2005,5.08
HD 33844 b,345,2.01 Jupiters,2015,7.29
HD 33844 c,345,1.75 Jupiters,2015,7.29
HD 34445 b,150,0.82 Jupiters,2009,7.31
HD 34445 c,150,0.168 Jupiters,2017,7.31
HD 34445 d,150,30.7 Earths,2017,7.31
HD 34445 e,150,16.8 Earths,2017,7.31
HD 34445 f,150,37.9 Earths,2017,7.31
HD 34445 g,150,0.38 Jupiters,2017,7.31
HD 35759 b,232,3.76 Jupiters,2016,7.74
HD 360 b,364,0.75 Jupiters,2021,5.986
HD 3651 b,36,0.228 Jupiters,2003,5.863
HD 37124 b,103,0.675 Jupiters,2002,7.68
HD 37124 c,103,0.652 Jupiters,2002,7.68
HD 37124 d,103,0.696 Jupiters,2005,7.68
HD 37605 b,153,2.69 Jupiters,2004,8.67
HD 37605 c,153,3.19 Jupiters,2012,8.67
HD 3765 b,58,0.173 Jupiters,2021,7.36
HD 38283 b,124,0.4 Jupiters,2010,6.69
HD 38529 b,138,0.65 Jupiters,2000,5.92848
HD 38529 c,138,10.38 Jupiters,2000,5.92848
HD 38801 b,298,9.698 Jupiters,2009,8.26
HD 39091 b,60,12.325 Jupiters,2001,5.666
HD 39194 b,86,4 Earths,2021,8.09
HD 39194 c,86,6.3 Earths,2021,8.09
HD 39194 d,86,4 Earths,2021,8.09
HD 39855 b,76,8.5 Earths,2019,7.51
HD 40307 b,42,4 Earths,2009,7.17
HD 40307 c,42,6.6 Earths,2009,7.17
HD 40307 d,42,9.5 Earths,2009,7.17
HD 40307 f,42,5.2 Earths,2013,7.17
HD 40307 g,42,7.1 Earths,2013,7.17
HD 40956 b,380,2.7 Jupiters,2017,6.42794
HD 40979 b,111,4.67 Jupiters,2002,6.75512
HD 41004 A b,120,2.54 Jupiters,2004,8.65
HD 41004 B b,136,18.37 Jupiters,2003,8.6078
HD 4113 b,137,1.703 Jupiters,2007,7.88
HD 42012 b,120,1.6 Jupiters,2017,8.44
HD 4203 b,265,2.23 Jupiters,2001,8.7
HD 4203 c,265,2.17 Jupiters,2014,8.7
HD 4208 b,112,0.81 Jupiters,2001,7.783
HD 42618 b,79,14.4 Earths,2016,6.87
HD 4308 b,72,15.8915 Earths,2005,6.55
HD 4313 b,445,1.927 Jupiters,2009,7.83
HD 43197 b,204,0.553 Jupiters,2010,8.98
HD 43197 c,204,7.868 Jupiters,2022,8.98
HD 43691 b,279,2.55 Jupiters,2007,8.03
HD 44219 b,173,0.58 Jupiters,2010,7.69
HD 45184 b,72,12.19 Earths,2019,6.383
HD 45184 c,72,8.81 Earths,2019,6.383
HD 45350 b,153,1.79 Jupiters,2004,7.89
HD 45364 b,112,0.1893 Jupiters,2008,8.08
HD 45364 c,112,0.549 Jupiters,2008,8.08
HD 45652 b,114,0.433 Jupiters,2008,8.1
HD 457 b,180,26.572 Jupiters,2022,7.72
HD 46375 b,96,0.226 Jupiters,2000,7.91
HD 47186 b,122,22.2481 Earths,2008,7.63
HD 47186 c,122,0.35061 Jupiters,2008,7.63
HD 4732 b,179,2.37 Jupiters,2012,5.9
HD 4732 c,179,2.37 Jupiters,2012,5.9
HD 47366 b,275,2.3 Jupiters,2016,6.11151
HD 47366 c,275,1.88 Jupiters,2016,6.11151
HD 47536 b,400,7.32 Jupiters,2002,5.25
HD 4760 b,1755,13.9 Jupiters,2021,7.51
HD 48265 b,295,1.525 Jupiters,2008,8.05
HD 4917 b,666,1.615 Jupiters,2018,8.03
HD 49674 b,140,31.783 Earths,2002,8.1
HD 50499 b,151,1.636 Jupiters,2005,7.21
HD 50499 c,151,2.93 Jupiters,2019,7.21
HD 50554 b,102,5.85 Jupiters,2002,6.8561
HD 51608 b,114,12.77 Earths,2019,8.17
HD 51608 c,114,14.31 Earths,2019,8.17
HD 52265 b,98,1.21 Jupiters,2000,6.29351
HD 5278 b,188,7.8 Earths,2021,7.94
HD 5278 c,188,18.4 Earths,2021,7.94
HD 5319 b,396,1.556 Jupiters,2007,8.05
HD 5319 c,396,1.053 Jupiters,2014,8.05
HD 55696 b,254,4.27 Jupiters,2018,7.95
HD 5583 b,715,5.78 Jupiters,2016,7.604
HD 5608 b,190,1.681 Jupiters,2012,6.00272
HD 56414 b,888,13.3 Earths,2022,9.217
HD 564 b,167,0.33 Jupiters,2014,8.32
HD 56957 b,201,5.918 Jupiters,2022,7.57
HD 5891 b,925,7.63 Jupiters,2011,8.09
HD 59686 A b,291,6.92 Jupiters,2016,5.44299
HD 60292 b,1028,6.5 Jupiters,2020,6.94657
HD 60532 b,85,1.06 Jupiters,2008,4.44
HD 60532 c,85,2.51 Jupiters,2008,4.44
HD 62364 b,173,18.77 Jupiters,2022,7.32
HD 62364 c,173,24.93 Jupiters,2022,7.32
HD 62509 b,34,2.3 Jupiters,2006,1.12512
HD 62549 b,161,8.519 Jupiters,2022,7.72
HD 63433 b,73,5.27 Earths,2020,6.92035
HD 63433 c,73,7.61 Earths,2020,6.92035
HD 63454 b,123,0.25 Jupiters,2005,9.37
HD 63765 b,106,0.53 Jupiters,2009,8.1
HD 63935 b,160,10.8 Earths,2021,8.58
HD 63935 c,160,11.1 Earths,2021,8.58
HD 64114 b,103,17.8 Earths,2019,7.71
HD 64121 b,424,2.56 Jupiters,2022,7.43
HD 6434 b,138,0.49 Jupiters,2003,7.72
HD 65216 b,115,1.295 Jupiters,2003,7.97
HD 65216 c,115,2.03 Jupiters,2013,7.97
HD 66141 b,222,6 Jupiters,2012,4.37821
HD 66428 b,174,10.946 Jupiters,2005,8.25
HD 66428 c,174,1.764 Jupiters,2021,8.25
HD 67087 b,250,3.06 Jupiters,2015,8.05
HD 67087 c,250,4.85 Jupiters,2015,8.05
HD 6718 b,167,1.68 Jupiters,2009,8.45
HD 68402 b,256,7.9 Jupiters,2016,9.11
HD 68988 b,198,1.97 Jupiters,2001,8.2
HD 68988 c,198,15 Jupiters,2021,8.2
HD 69123 b,245,3.09 Jupiters,2022,5.77
HD 69830 b,41,10.2 Earths,2006,5.951
HD 69830 c,41,11.8 Earths,2006,5.951
HD 69830 d,41,18.1 Earths,2006,5.951
HD 70573 b,193,6.1 Jupiters,2007,8.667
HD 70642 b,95,3.9 Jupiters,2003,7.17
HD 7199 b,118,0.27 Jupiters,2011,8.06
HD 72490 b,412,1.768 Jupiters,2018,7.82
HD 72659 b,169,2.988 Jupiters,2002,7.46
HD 72659 c,169,18.806 Jupiters,2022,7.46
